,drugname1,drugname2,cell_line,synergy,fold
0,5-FU,DASATINIB,A2058,31.1256441825,2
1,5-FU,MK-8669,A2058,32.336231656,7
2,ABT-888,SN-38,A2058,37.1975524441,1
3,ABT-888,SORAFENIB,A2058,36.1961652133,2
4,AZD1775,DASATINIB,A2058,34.97062024235,7
5,AZD1775,MK-4827,A2058,32.7687294711,3
6,AZD1775,MK-8669,A2058,38.93836298,5
7,AZD1775,MK-8776,A2058,69.5765508979,4
8,BEZ-235,MK-8776,A2058,65.61573897390001,4
9,CARBOPLATIN,DASATINIB,A2058,36.5563123529,8
10,CARBOPLATIN,MK-8776,A2058,32.6982278182,6
11,DASATINIB,BEZ-235,A2058,70.1804783863,6
12,DASATINIB,DINACICLIB,A2058,48.917163590600005,0
13,DASATINIB,MK-8669,A2058,84.4453477137,7
14,DASATINIB,MK-8776,A2058,56.6710870957,3
15,DASATINIB,SN-38,A2058,34.0149622635,5
16,DASATINIB,SORAFENIB,A2058,36.3294355627,2
17,ERLOTINIB,BEZ-235,A2058,30.4472347297,6
18,ERLOTINIB,DASATINIB,A2058,50.8561267311,5
19,ERLOTINIB,MK-8669,A2058,52.2617159832,9
20,ETOPOSIDE,GELDANAMYCIN,A2058,31.0615666545,8
21,ETOPOSIDE,MK-8776,A2058,57.6790160624,9
22,GELDANAMYCIN,BEZ-235,A2058,34.5733358528,8
23,GELDANAMYCIN,MK-8776,A2058,51.4196349082,8
24,GEMCITABINE,MK-8776,A2058,77.4605389165,5
25,L778123,BEZ-235,A2058,33.0346592892,7
26,L778123,DASATINIB,A2058,38.9468173946,4
27,L778123,MK-4827,A2058,32.1703331768,9
28,L778123,MK-8669,A2058,46.45451740575,5
29,L778123,MK-8776,A2058,34.4043337241,3
30,L778123,SN-38,A2058,40.8106020289,9
31,L778123,TEMOZOLOMIDE,A2058,38.5390724898,0
32,L778123,TOPOTECAN,A2058,45.103200011400006,8
33,LAPATINIB,BEZ-235,A2058,34.8835732671,6
34,LAPATINIB,DASATINIB,A2058,53.534424521800005,8
35,LAPATINIB,MK-2206,A2058,41.77696806285,6
36,LAPATINIB,MK-8669,A2058,32.537069207600005,3
37,LAPATINIB,PD325901,A2058,44.5395978501,1
38,MITOMYCINE,MK-8776,A2058,59.97535377525,2
39,MITOMYCINE,PD325901,A2058,31.465224899000003,0
40,MK-2206,BEZ-235,A2058,57.2908346809,9
41,MK-2206,DASATINIB,A2058,89.36773897120001,6
42,MK-2206,MK-8669,A2058,51.3989688437,1
43,MK-2206,PD325901,A2058,45.152886764,8
44,MK-4541,VINBLASTINE,A2058,33.8534471253,7
45,MK-4827,GELDANAMYCIN,A2058,33.0257256486,1
46,MK-4827,MK-2206,A2058,49.6182605652,3
47,MK-4827,MK-8776,A2058,59.7195734534,4
48,MK-5108,DASATINIB,A2058,31.7288985973,4
49,MK-8669,BEZ-235,A2058,86.5985705826,5
50,MK-8669,MK-8776,A2058,61.7862482518,7
